Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
3C Metal,2403,Julien Ribeiro,Affaire 3C Métal,Market (Chasse SDR ),2023-03-03 15:12:23,3300,0,2023-05-17 13:47:37,0,Gagnée,🟡 En cours,139601,Julien Ribeiro,Sales,0
88 Touches Procution,2320,Ahmed NAFAI,Affaire 88 Touches Production,Market (Formulaire),2022-12-14 14:18:07,7000,0,2022-12-16 09:07:25,0,Gagnée,💜 Client,138345,Pagna,Client,0
AQC,2248,Ahmed NAFAI,Affaire AQC,Market (Formulaire),2022-10-17 12:03:15,2000,2022-12-15 10:44:15,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,135529,Julien Ribeiro,NURTURING,0
Abo Wind,2161,Jordan Camelo,Affaire Abo Wind,Market (Call SDR),2022-06-20 13:35:48,8000,2022-07-22 15:07:53,0,Prix,Perdue,❌ Deal perdu,129232,Julien Ribeiro,Sales,0
Actemium,2354,Thibault,Affaire Actemium,Market (Formulaire),2023-01-25 17:18:49,10000,0,0,0,En cours,🟡 En cours,138806,Thibault,Sales,0
Actia Engineering Services,2358,Ahmed NAFAI,Affaire Actia Engineering Services,Market (Formulaire),2023-01-27 09:59:48,20000,0,0,0,En cours,🟡 En cours,138587,Ahmed NAFAI,Sales,0
Acuitis,2177,Jordan Camelo,Affaire Acuitis,Market (Call SDR),2022-07-25 18:08:24,4000,0,2022-08-16 08:30:05,0,Gagnée,💜 Client,133065,Maud,Client,0
Ad's Up Consulting,2478,Julien Ribeiro,Affaire Ad's Up Consulting,Market (Formulaire),2023-05-02 16:49:59,10000,0,0,0,En cours,0,128607,Julien Ribeiro,Sales,0
Adeka Polymer Additives Europe,2328,Jordan Camelo,Prospect Adeka,Market (Publi),2023-01-05 14:37:07,10000,0,0,0,En cours,🟡 En cours,135658,Jordan Camelo,Sales,0
Adista,2159,Jordan Camelo,Affaire Adista,Market (Formulaire),2022-06-16 11:30:20,35000,2023-01-16 09:30:49,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,133828,Jordan Camelo,Offre en cours,0
Alice & Bob,2242,Julien Ribeiro,Affaire Alice & Bob,Market (Formulaire),2022-10-11 10:19:25,4000,2022-10-25 09:36:11,0,Cherchait plus dans le traditionnel + prix,Perdue,❌ Deal perdu,135574,Julien Ribeiro,Offre en cours,0
Altametris,2464,Julien Ribeiro,Affaire Altametris,Market (Formulaire),2023-04-18 15:22:33,4000,0,0,0,En cours,0,140071,Julien Ribeiro,Sales,0
Altarea Cogedim,2324,Jordan Camelo,Prospect Alterea,Market (Formulaire),2022-12-22 10:22:55,42000,2023-03-08 15:17:19,0,Tarif,Perdue,❌ Deal perdu,65466,Jordan Camelo,Sales,0
Altavia,2411,Jordan Camelo,Affaire Altavia,Event,2023-03-10 16:17:35,25000,0,0,0,En cours,🟡 En cours,97356,Jordan Camelo,Sales,0
Alto Ingenierie,2352,Julien Ribeiro,Affaire Alto Ingenierie,Market (Email),2023-01-25 11:45:21,4600,0,0,0,En cours,🟡 En cours,132034,Julien Ribeiro,Sales,0
